object,ra,dec
L1228,314.29875000,77.596638890
CGCG 036-024,150.74612500,2.343000000
NGC 7822,0.897310790,67.161626230
HD 101959,175.98586167,-29.74770694
ELAISR20 J161104+542834,242.76970667,54.476318060
89.33984 34.69237 ga,259.73727758,60.353282419
259.19154 +59.54739 eq,259.19154000,59.547390000
17h18m57s 60d21m12s Equ,259.73750000,60.353333333
M17,275.19629213,-16.17152563
189.200139 62.401597 eq,89.20013900,62.401597000
M 16,274.70072739,-13.80722822
M 101,210.80245824,54.349093840
290.971773 11.774474 eq,290.97177300,11.774474000
Arp 220,233.73798492,23.503186790
318.69492 +13.80712 ga,215.30675631,-46.29838053
NGC 3353,161.34337500,55.960388890
Tadpole,241.51620833,55.425250000
335.762875 59.146226 eq,335.76287500,59.146226000
NGC 6631,276.79732179,-12.03122950
GLC388,154.90115417,19.870016670
0 0 ga,266.40508919,-28.93617470
M52,351.20165759,61.593165590
M87,187.70593042,12.391123060
hoii,124.77075000,70.720027780
ELAISR20 J163640+413132,249.17062083,41.525624440
290.971773 11.774474 eq,290.97177300,11.774474000
NGC 2070,84.676489160,-69.10090003
NGC 3353,161.34338000,55.960390000
223.72340 -54.41294 ga,53.158590000,-27.89111000
IRAS 04259+2403,67.233750000,24.170000000
