\fixlen = T
\RowsRetrieved = 57
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2017-04-24 13:43:48'
\DataTag = 'ADS/.Gator'
\DATABASE = 'NEOWISE-R Public Single Exposure (L1b) Source Table (neowiser_q1bs_psd)'
\EQUINOX = 'J2000'
\SKYAREA = 'within 3 arcsec of  ra=237.82080 dec=-15.75092 Eq J2000 '
\StatusFile = '/workspace/TMP_f1MxKG_27365/Gator/irsa/1802/log.1802.html'
\SQL = 'SELECT (19 column names follow in next row.)'
\source = /hydra/workarea/irsaviewer/temp_files/IpacTableFromSource6371654060807242007.tbl
\sortInfo = ASC,mjd
\ 
\ 
\ ra (deg)
\ ___ right ascension (J2000)
\ dec (deg)
\ ___ declination (J2000)
\ frame_num
\ ___ frame number
\ scan_id
\ ___ scan ID
\ src
\ ___ source number in frame
\ w1mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 1
\ w1sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 1
\ w1rchi2
\ ___ instrumental profile-fit photometry reduced chi^2, band 1
\ w2mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 2
\ w2sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 2
\ w2rchi2
\ ___ instrumental profile-fit photometry reduced chi^2, band 2
\ nb
\ ___ number of blend components used in each fit
\ cc_flags
\ ___ prioritized artifacts affecting the source in each band
\ qual_frame
\ ___ quality score value for frame
\ saa_sep (deg)
\ ___ distance from frame center to SAA boundary
\ moon_masked
\ ___ flag (0/1) indicating whether frame is within the moon-mask area in each band
\ mjd (mjdate)
\ ___ modified Julian date of the mid-point of the observation of the frame
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|ra          |dec         |frame_num |scan_id |src    |w1mpro  |w1sigmpro |w1rchi2    |w2mpro  |w2sigmpro |w2rchi2    |nb   |cc_flags |qual_frame |saa_sep |moon_masked |mjd            |dist           |angle       |ROWID                         |
|double      |double      |int       |char    |int    |double  |double    |double     |double  |double    |double     |i    |char     |int        |double  |char        |double         |double         |double      |int                           |
|deg         |deg         |          |        |       |mag     |mag       |           |mag     |mag       |           |     |         |           |deg     |            |mjdate         |arcsec         |deg         |                              |
|null        |null        |null      |null    |null   |null    |null      |null       |null    |null      |null       |null |null     |null       |null    |null        |null           |null           |null        |                              |
  237.8207956  -15.7511113        146   46245b      38    9.978      0.015   9.260e-01    9.941      0.016   6.687e-01     1      0000          10  102.917           00  56706.79320378        0.688847   181.268141                             45 
  237.8207582  -15.7511303        146   46253b      47   10.193      0.015   3.047e+00   10.211      0.017   2.324e+00     1      0000          10   39.939           00  56707.05666600        0.770808   190.829843                             33 
  237.8207854  -15.7511301        146   46257b      37    9.985      0.015   8.211e-01   10.018      0.015   8.025e-01     1      0000          10    8.956           00  56707.18833343        0.758049   183.826320                             46 
  237.8207840  -15.7511112        121   46260a      32    9.951      0.015   7.834e-01    9.917      0.016   1.794e+00     1      0000          10    1.619           00  56707.25416714        0.690552   184.604648                             18 
  237.8208089  -15.7511636        121   46268a      32   10.063      0.017   1.154e+01   10.104      0.017   2.296e+00     1      0000           5   18.874           00  56707.51762926        0.877502   177.986116                              3 
  237.8207717  -15.7511047        121   46272a      40   10.113      0.017   1.134e+00   10.139      0.017   1.404e+00     1      0000          10   61.475           00  56707.64942399        0.672111   188.388831                             19 
  237.8208158  -15.7510979        121   46276a      41    9.921      0.019   2.647e+01   10.004      0.018   1.775e+01     1      0000           5  100.464           00  56707.78109142        0.642776   175.114292                             32 
  237.8208005  -15.7511214        142   46365b      37   10.111      0.016   1.370e+00   10.121      0.020   9.066e-01     1      0000          10   90.641           11  56710.74500382        0.725040   179.863098                             15 
  237.8207782  -15.7511067        156   51754a      44   10.215      0.016   1.046e+00   10.206      0.018   1.074e+00     1      0000          10   30.027           00  56888.07208400        0.676349   186.412016                             30 
  237.8207921  -15.7511252        156   51758a      38    9.973      0.017   9.719e-01    9.962      0.019   7.790e-01     1      0000          10   71.862           00  56888.20362422        0.739228   182.122032                             44 
  237.8207638  -15.7511278        156   51762a      40    9.934      0.018   2.947e+00    9.975      0.015   9.950e-01     1      0000          10  105.416           00  56888.33516446        0.758522   189.517940                              2 
  237.8207902  -15.7511246         64   51767a      30   10.031      0.016   1.635e+00   10.031      0.017   8.165e-01     1      0000          10   73.973           00  56888.46683204        0.737340   182.639452                              1 
  237.8207836  -15.7511146         63   51769a      58   10.124      0.018   9.140e-01   10.085      0.016   1.356e+00     1      0000          10   52.950           00  56888.53253837        0.702864   184.637160                             16 
  237.8207848  -15.7511198        156   51770a      44   10.216      0.015   9.066e-01   10.225      0.017   1.004e+00     1      0000          10   31.992           00  56888.59837212        0.721206   184.187691                              0 
